id,name,email,passwordHash,isActive,baseLocationCode,rating,reviewCount,starLevel,createdAt,updatedAt
50f8e98c-62f3-48df-9420-77b6308af331,Vendor_1_MUM,vendor1@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,9.6,33,2,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
4264bce1-aa70-4b31-85ae-a8def70a8bfc,Vendor_2_MUM,vendor2@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,2.7,742,2,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
155531e0-1e06-4750-80de-753f9a96cabe,Vendor_3_MUM,vendor3@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,9.8,651,2,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
e3d4d726-c512-42b9-b2eb-d49915ad63a1,Vendor_4_MUM,vendor4@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,7.6,269,4,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
286d7df2-5785-4fd5-9ba0-0418728950c2,Vendor_5_MUM,vendor5@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,5.9,637,3,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
099efa08-d07f-4746-b59a-ba0ac8e12552,Vendor_6_MUM,vendor6@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,9.6,692,3,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
329f0034-6193-44c8-a62f-004a9932f7cb,Vendor_7_MUM,vendor7@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,3.2,828,3,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
5508a552-7da2-4c0a-afe1-ca27c3b36a65,Vendor_8_MUM,vendor8@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,9.2,742,2,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
1326e16c-e97c-4919-84ea-bcb40a0d5d19,Vendor_9_MUM,vendor9@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,8.8,653,3,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
cd48c0a8-be24-467c-9367-a07a74d6760f,Vendor_10_MUM,vendor10@eventhub.com,$2b$10$VyMyYM2Xw5GBq9.3jSFMW.OVF94UWH6n8XCkWzF6VJ5wTEjOARqx.,True,MUM,4.7,716,2,2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
