id,username,fullName,email,passwordHash,mobileNumber,address,city,state,country,createdAt,updatedAt
10000000-0000-0000-0000-000000000001,test1,test1,test1@test.com,$2b$10$1pXTFa1gvub/E1OCq/g0tehlBgDFh6PnLvBng89OQNZ7L1ZY3e/BS,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
10000000-0000-0000-0000-000000000002,test2,test2,test2@test.com,$2b$10$9MOCz4jL.wmdog6MoptMlO7gVGCgHrJdOeuTnatzjHEQm6STlJ4Ua,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
10000000-0000-0000-0000-000000000003,test3,test3,test3@test.com,$2b$10$QB/K6tc6qsxlN8OVyq64LOSzztd/2u5NnYp/XnB8RrzuXos.sROxK,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
10000000-0000-0000-0000-000000000004,test4,test4,test4@test.com,$2b$10$uyggPce5tOSTsIeVQ3x1Me/ZU8VXUcVoeY5F7CdMZdr8Pb85/fbvi,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
10000000-0000-0000-0000-000000000005,test5,test5,test5@test.com,$2b$10$bToWAL2PLlCM1CAf0ky.OeuHqzXUm54Kkg9PobP37Ct.YPoqYf/Ra,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
10000000-0000-0000-0000-000000000006,test6,test6,test6@test.com,$2b$10$pK.ciU6qTqfjEQZwC1316u5cbzyeWErmfReoPFBKG56SEGryI6/sy,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
10000000-0000-0000-0000-000000000007,test7,test7,test7@test.com,$2b$10$7VKYO7pyB5NaFQqNLgOwxO.Hd2XwxsWSvWIimEcTY6.HjmU2K0z3O,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
10000000-0000-0000-0000-000000000008,test8,test8,test8@test.com,$2b$10$8UJPH89uJpU4BJLhY2hDFOkk//NE97nJ1NhcBYKWPDB9bdhDJuwl6,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
10000000-0000-0000-0000-000000000009,test9,test9,test9@test.com,$2b$10$6P/O6WLZK0nhoxnvpn9qD.uO18h7Gj/FSmENldt9bMgFuUBgkVjTO,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
10000000-0000-0000-0000-000000000010,test10,test10,test10@test.com,$2b$10$OEHXDEzAEjxTfHEo5KWqfuIOsnQxY36CVj1BydpIlHDDs/.kRwXVu,,,,,,2026-01-01T10:00:00Z,2026-01-01T10:00:00Z
